Id,Requester id,Group,Status,Priority,Via,Created at,Initially assigned at,Assigned at,Solved at,Updated at,CreatedToUpdated_Days,Resolution time,Satisfaction Score,Reopens,Replies,First reply time in minutes within business hours,First resolution time in minutes,First resolution time in minutes within business hours,Full resolution time in minutes,Full resolution time in minutes within business hours,Requester wait time in minutes,Requester wait time in minutes within business hours,Manual Tagging of Categories,SolvedOnly,CtoIA HOurs,IAtoS Hours,Satisfaction Rating
331360,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:01,30-05-23 15:31,30-05-23 15:31,30-05-23 15:31,30-05-23 15:31,12,297,,0,0,,17790,9032,17790,9032,17790,9032,,0,297,0,
306650,6.72163E+12,Endorsements,Closed,Low,Mail,19-04-23 7:00,27-04-23 17:14,27-04-23 17:14,27-04-23 17:14,27-04-23 17:14,8,202,,0,0,,12134,6255,12134,6255,12134,6255,,0,203,0,
331405,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:02,12-06-23 15:26,12-06-23 15:26,12-06-23 15:26,12-06-23 15:26,25,608,,0,0,,36504,18387,36504,18387,36504,18387,,0,609,0,
331408,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:02,02-06-23 17:06,02-06-23 17:06,02-06-23 17:06,02-06-23 17:06,15,370,,0,0,,22205,11287,22205,11287,22205,11287,,0,371,0,
331411,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:02,14-06-23 9:34,14-06-23 9:34,14-06-23 9:34,14-06-23 9:34,27,651,,0,0,,39032,19474,39032,19474,39032,19474,,0,651,0,
331412,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:02,07-06-23 12:16,07-06-23 12:16,07-06-23 12:16,07-06-23 12:16,20,485,,0,0,,29114,14596,29114,14596,29114,14596,,0,486,0,
331420,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:02,29-05-23 16:24,29-05-23 16:24,29-05-23 16:24,29-05-23 16:24,11,273,,0,0,,16402,8364,16402,8364,16402,8364,,0,274,0,
294225,6.72163E+12,Endorsements,Closed,Low,Mail,05-04-23 7:00,10-04-23 11:00,10-04-23 11:00,10-04-23 11:00,09-05-23 6:08,34,124,,0,0,,7440,3720,7440,3720,7440,3720,,0,124,0,
338818,6.72163E+12,Endorsements,Closed,Low,Mail,26-05-23 7:02,30-05-23 21:51,30-05-23 21:51,30-05-23 21:51,30-05-23 21:51,5,111,,0,0,,6649,3600,6649,3600,6649,3600,,0,111,0,
337724,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:53,07-06-23 12:46,07-06-23 12:46,07-06-23 12:46,07-06-23 12:46,13,317,,0,0,,19013,9587,19013,9587,19013,9587,,0,317,0,
337712,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:53,06-06-23 11:12,06-06-23 11:12,06-06-23 11:12,06-06-23 11:12,12,291,,0,0,,17479,8772,17479,8772,17479,8772,,0,292,0,
301374,6.72163E+12,Endorsements,Closed,Low,Mail,13-04-23 7:00,21-04-23 16:11,21-04-23 16:11,21-04-23 16:11,20-05-23 6:09,37,201,,0,0,,12071,6191,12071,6191,12071,6191,,0,202,0,
337671,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:02,08-06-23 12:30,08-06-23 12:30,08-06-23 12:30,08-06-23 12:30,14,341,,0,0,,20488,10290,20488,10290,20488,10290,,0,342,0,
308847,6.72163E+12,Endorsements,Closed,Low,Mail,21-04-23 7:00,26-04-23 15:48,26-04-23 15:48,26-04-23 15:48,25-05-23 6:10,34,129,,0,0,,7728,4009,7728,4009,7728,4009,,0,129,0,
331363,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:01,14-06-23 12:41,14-06-23 12:41,14-06-23 12:41,14-06-23 12:41,27,654,,0,0,,39219,19661,39219,19661,39219,19661,,0,654,0,
331364,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:01,30-05-23 16:51,30-05-23 16:51,30-05-23 16:51,30-05-23 16:51,12,298,,0,0,,17870,9111,17870,9111,17870,9111,,0,298,0,
331403,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:02,23-05-23 23:10,23-05-23 23:10,23-05-23 23:10,23-05-23 23:10,6,136,,0,0,,8169,4320,8169,4320,8169,4320,,0,137,0,
331400,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:02,12-06-23 15:46,12-06-23 15:46,12-06-23 15:46,12-06-23 15:46,25,609,,0,0,,36525,18407,36525,18407,36525,18407,,0,609,0,
294224,6.72163E+12,Endorsements,Closed,Low,Mail,05-04-23 7:00,10-04-23 10:58,10-04-23 10:58,10-04-23 10:58,09-05-23 6:08,34,124,,0,0,,7438,3719,7438,3719,7438,3719,,0,124,0,
294266,6.72163E+12,Endorsements,Closed,Low,Mail,05-04-23 7:00,05-04-23 11:42,05-04-23 11:42,05-04-23 11:42,05-04-23 11:42,0,5,,0,0,,282,162,282,162,282,162,,0,5,0,
294251,6.72163E+12,Endorsements,Closed,Low,Mail,05-04-23 7:00,08-04-23 13:35,08-04-23 13:35,08-04-23 13:35,08-04-23 13:35,3,79,,0,0,,4715,2436,4715,2436,4715,2436,,0,79,0,
331353,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:00,06-06-23 13:03,06-06-23 13:03,06-06-23 13:03,06-06-23 13:03,19,462,,0,0,,27723,13923,27723,13923,27723,13923,,0,463,0,
293199,6.72163E+12,Endorsements,Closed,Low,Mail,04-04-23 7:00,04-04-23 12:21,04-04-23 12:21,04-04-23 12:21,04-04-23 12:21,0,5,,0,0,,321,202,321,202,322,202,,0,6,0,
308941,6.72163E+12,Endorsements,Closed,Low,Mail,21-04-23 7:01,26-04-23 23:20,26-04-23 23:20,26-04-23 23:20,26-04-23 23:20,6,136,,0,0,,8178,4320,8178,4320,8178,4320,,0,137,0,
336465,6.72163E+12,Endorsements,Closed,Low,Mail,24-05-23 7:02,29-05-23 17:19,29-05-23 17:19,29-05-23 17:19,18-06-23 17:36,25,130,,0,0,,7817,4099,7817,4099,7817,4099,,0,131,0,
336462,6.72163E+12,Endorsements,Closed,Low,Mail,24-05-23 7:02,29-05-23 17:17,29-05-23 17:17,29-05-23 17:17,18-06-23 17:36,25,130,,0,0,,7816,4098,7816,4098,7816,4098,,0,131,0,
331376,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:01,30-05-23 15:26,30-05-23 15:26,30-05-23 15:26,30-05-23 15:26,12,296,,0,0,,17784,9026,17784,9026,17784,9026,,0,297,0,
331378,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:01,23-05-23 11:58,23-05-23 11:58,23-05-23 11:58,23-05-23 11:58,5,125,,0,0,,7496,3778,7496,3778,7496,3778,,0,125,0,
338820,6.72163E+12,Endorsements,Closed,Low,Mail,26-05-23 7:02,14-06-23 9:34,14-06-23 9:34,14-06-23 9:34,14-06-23 9:34,19,459,,0,0,,27512,13714,27512,13714,27512,13714,,0,459,0,
331390,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:02,18-05-23 19:59,18-05-23 19:59,18-05-23 19:59,18-05-23 19:59,1,13,,0,0,,777,659,777,659,777,659,,0,13,0,
331371,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:01,29-05-23 11:16,29-05-23 11:16,29-05-23 11:16,29-05-23 11:16,11,268,,0,0,,16095,8057,16095,8057,16095,8057,,0,269,0,
331348,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:00,31-05-23 17:02,31-05-23 17:02,31-05-23 17:02,31-05-23 17:02,13,322,,0,0,,19322,9842,19322,9842,19322,9842,,0,323,0,
338821,6.72163E+12,Endorsements,Closed,Low,Mail,26-05-23 7:02,07-06-23 17:40,07-06-23 17:40,07-06-23 17:40,07-06-23 17:40,12,299,,0,0,,17919,9161,17919,9161,17919,9161,,0,299,0,
337720,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:53,07-06-23 16:16,07-06-23 16:16,07-06-23 16:16,07-06-23 16:16,13,320,,0,0,,19223,9796,19223,9796,19223,9796,,0,321,0,
309795,6.72163E+12,Endorsements,Closed,Low,Mail,22-04-23 7:00,26-04-23 10:44,26-04-23 10:44,26-04-23 10:44,26-04-23 10:44,4,100,,0,0,,5984,2985,5984,2985,5984,2985,,0,100,0,
337501,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,29-05-23 17:24,29-05-23 17:24,29-05-23 17:24,18-06-23 17:36,24,106,,0,0,,6384,3384,6384,3384,6384,3384,,0,107,0,
337515,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,29-05-23 17:25,29-05-23 17:25,29-05-23 17:25,18-06-23 17:36,24,106,,0,0,,6385,3385,6385,3385,6385,3385,,0,107,0,
